ndc,ADHD,ANTIDEPRESSANT,ANTIPSYCHOTIC,MOODSTABILIZER,ANTIANXIETY,SLEEP
000073512,1,0,0,0,0,0
000073513,1,0,0,0,0,0
000073514,1,0,0,0,0,0
000743241,1,0,0,0,0,0
548683402,1,0,0,0,0,0
548683403,1,0,0,0,0,0
548683674,1,0,0,0,0,0
548683811,1,0,0,0,0,0
585210031,1,0,0,0,0,0
585210032,1,0,0,0,0,0
585210033,1,0,0,0,0,0
585210451,1,0,0,0,0,0
585210452,1,0,0,0,0,0
598853512,1,0,0,0,0,0
598853513,1,0,0,0,0,0
598853514,1,0,0,0,0,0
635520031,1,0,0,0,0,0
635520032,1,0,0,0,0,0
635520033,1,0,0,0,0,0
005550952,1,0,0,0,0,0
005550953,1,0,0,0,0,0
635520669,1,0,0,0,0,0
635520670,1,0,0,0,0,0
635520671,1,0,0,0,0,0
005550971,1,0,0,0,0,0
005550972,1,0,0,0,0,0
005550973,1,0,0,0,0,0
005550974,1,0,0,0,0,0
000073519,1,0,0,0,0,0
004068958,1,0,0,0,0,0
004068959,1,0,0,0,0,0
005550956,1,0,0,0,0,0
007560300,1,0,0,0,0,0
007560301,1,0,0,0,0,0
540920381,1,0,0,0,0,0
540920383,1,0,0,0,0,0
540920385,1,0,0,0,0,0
540920387,1,0,0,0,0,0
540920389,1,0,0,0,0,0
540920391,1,0,0,0,0,0
548684631,1,0,0,0,0,0
635520381,1,0,0,0,0,0
635520385,1,0,0,0,0,0
635520389,1,0,0,0,0,0
647200136,1,0,0,0,0,0
001850404,1,0,0,0,0,0
005550775,1,0,0,0,0,0
005550776,1,0,0,0,0,0
005550777,1,0,0,0,0,0
001850401,1,0,0,0,0,0
540920371,1,0,0,0,0,0
540920373,1,0,0,0,0,0
540920376,1,0,0,0,0,0
548684760,1,0,0,0,0,0
004068960,1,0,0,0,0,0
004068961,1,0,0,0,0,0
004068962,1,0,0,0,0,0
007560308,1,0,0,0,0,0
007560309,1,0,0,0,0,0
007560310,1,0,0,0,0,0
548684728,1,0,0,0,0,0
548684863,1,0,0,0,0,0
635520035,1,0,0,0,0,0
635520036,1,0,0,0,0,0
635520037,1,0,0,0,0,0
106091505,1,0,0,0,0,0
581770311,1,0,0,0,0,0
581770312,1,0,0,0,0,0
677670101,1,0,0,0,0,0
677670103,1,0,0,0,0,0
677670106,1,0,0,0,0,0
677670107,1,0,0,0,0,0
004068884,1,0,0,0,0,0
004068885,1,0,0,0,0,0
004068886,1,0,0,0,0,0
004068891,1,0,0,0,0,0
004068893,1,0,0,0,0,0
004068894,1,0,0,0,0,0
007560139,1,0,0,0,0,0
007560316,1,0,0,0,0,0
007560317,1,0,0,0,0,0
007560318,1,0,0,0,0,0
007560319,1,0,0,0,0,0
007560320,1,0,0,0,0,0
007560321,1,0,0,0,0,0
007560322,1,0,0,0,0,0
548685007,1,0,0,0,0,0
551548654,1,0,0,0,0,0
551548655,1,0,0,0,0,0
548685103,1,0,0,0,0,0
548685140,1,0,0,0,0,0
548685142,1,0,0,0,0,0
635520160,1,0,0,0,0,0
