ndc,opioid,recovery
000020014,0,0
000020018,0,0
000020019,0,0
000020034,0,0
000020055,0,0
000020056,0,0
000020144,0,0
000020145,0,0
000020203,1,0
000020210,0,0
000020303,0,0
000020329,0,0
000020346,0,0
000020351,0,0
000020353,0,0
000020363,0,0
000020453,0,0
000020454,0,0
000020455,0,0
000020456,0,0
000020490,0,0
000020504,0,0
000020505,0,0
000020539,0,0
000020604,0,0
000020615,0,0
000020625,0,0
000020630,0,0
000020640,0,0
000020652,0,0
000020665,0,0
000020675,0,0
000020676,0,0
000020677,0,0
000020678,0,0
000020679,0,0
000020680,0,0
000020682,0,0
000020706,1,0
000020707,1,0
000020708,1,0
000020741,0,0
000020742,0,0
000020748,1,0
000020749,1,0
000020800,0,0
000020803,0,0
000020817,0,0
000020819,0,0
000020839,0,0
000020840,0,0
000020841,0,0
000020869,0,0
000020871,0,0
000020892,0,0
000020958,0,0
000020959,0,0
000021009,0,0
000021031,0,0
000021032,0,0
000021033,0,0
000021037,0,0
000021041,0,0
000021042,0,0
000021044,0,0
000021046,0,0
000021048,0,0
000021064,0,1
000021072,0,1
000021087,0,0
000021088,0,0
000021094,0,0
000021095,0,0
000021105,0,0
000021106,0,0
000021200,0,0
000021407,0,0
000021433,0,0
000021434,0,0
000021438,0,0
000021444,0,0
000021445,0,0
000021446,0,0
000021448,0,0
000021450,0,0
000021452,0,0
000021462,0,0
000021465,0,0
000021485,0,0
000021498,0,0
000021608,0,0
000021637,1,0
000021682,0,1
000021685,0,0
000021975,0,0
000021977,0,0
000022103,0,0
000022153,0,1
000022352,0,0
000022372,0,0
000022549,1,0
000022550,1,0
000022551,1,0
000022557,1,0
000022558,1,0
000022606,0,0
000023004,0,0
000023055,0,0
000023056,0,0
000023061,0,0
000023062,0,0
000023105,0,0
000023111,0,0
000023144,0,0
000023145,0,0
000023170,0,0
000023171,0,0
000023210,0,0
000023220,0,0
000023227,0,0
000023228,0,0
000023229,0,0
000023230,0,0
000023231,0,0
000023232,0,0
000023233,0,0
000023234,0,0
000023235,0,0
000023237,0,0
000023238,0,0
000023239,0,0
000023240,0,0
000023250,0,0
000023251,0,0
000023270,0,0
000024112,0,0
000024115,0,0
000024116,0,0
000024117,0,0
000024165,0,0
000024184,0,0
000024215,0,0
000024415,0,0
000024420,0,0
000024442,0,0
000024453,0,0
000024454,0,0
000024455,0,0
000024456,0,0
000024462,0,0
000024463,0,0
000024464,0,0
000024465,0,0
000024483,0,0
000024759,0,0
000024760,0,0
000024770,0,0
000024771,0,0
000024772,0,0
000024815,0,0
000025057,0,0
000025058,0,0
000025121,0,0
000025123,0,0
000025130,0,0
000025132,0,0
000025135,0,0
000025136,0,0
000025337,0,0
000025339,0,0
000025357,0,0
000025358,0,0
000025359,0,0
000025360,0,0
000025361,0,0
000025362,0,0
000025363,0,0
000025800,0,0
000025801,0,0
000025802,0,0
000026024,0,0
000026026,0,0
000026034,0,0
000026035,0,0
000026216,0,0
000027014,0,0
000027140,0,0
000027175,0,0
000027190,0,0
000027194,0,0
000027195,0,0
000027196,0,0
000027215,0,0
000027217,0,0
000027231,0,0
000027234,0,0
000027241,0,0
000027266,0,0
000027271,0,0
000027272,0,0
000027273,0,0
000027274,0,0
000027275,0,0
000027278,0,0
000027279,0,0
000027290,0,0
000027291,0,0
000027297,0,0
000027298,0,0
000027321,0,0
000027335,0,0
000027336,0,0
000027375,0,0
000027381,0,0
000027493,0,0
000027497,0,0
000027501,0,0
000027502,0,0
000027510,0,0
000027511,0,0
000027512,0,0
000027515,0,0
000027516,0,0
000027556,0,0
000027559,0,0
000027561,0,0
000027597,0,0
000027623,0,0
000027635,0,0
000027636,0,0
000027637,0,0
000027640,0,0
000027669,0,0
000027678,0,0
000027711,0,0
000027712,0,0
000027714,0,0
000027715,0,0
000027716,0,0
000027724,0,0
000028009,0,0
000028030,0,0
000028031,0,0
000028085,0,0
000028090,0,0
000028147,0,0
000028148,0,0
000028149,0,0
000028210,0,0
000028211,0,0
000028215,0,0
000028217,0,0
000028310,0,0
000028311,0,0
000028315,0,0
000028317,0,0
000028400,0,0
000028410,0,0
000028411,0,0
000028415,0,0
000028500,0,0
000028501,0,0
000028502,0,0
000028503,0,0
000028541,0,0
000028615,0,0
000028715,0,0
000028717,0,0
000028725,0,0
000028730,0,0
000028770,0,0
000028793,0,0
000028794,0,0
000028797,0,0
000028798,0,0
000028799,0,0
000028803,0,0
000028805,0,0
000028824,0,0
000028926,0,0
000028967,0,0
000028971,0,0
000028995,0,0
000029501,0,0
000029502,0,0
000029504,0,0
000029505,0,0
000029515,0,0
000029535,0,0
000029998,0,0
000029999,0,0
000030001,0,0
000030011,0,0
000030012,0,0
000030032,0,0
000030059,0,0
000030064,0,0
000030075,0,0
000030076,0,0
000030083,0,0
000030091,0,0
000030113,0,0
000030114,0,0
000030149,0,0
000030173,0,0
000030207,0,0
000030208,0,0
000030213,0,0
000030215,0,0
000030232,0,0
000030241,0,0
000030246,0,0
000030248,0,0
000030249,0,0
000030251,0,0
000030265,0,0
000030283,0,0
000030284,0,0
000030293,0,0
000030330,0,0
000030338,0,0
000030343,0,0
000030349,0,0
000030371,0,0
000030384,0,0
000030390,0,0
000030411,0,0
000030412,0,0
000030429,0,0
000030431,0,0
000030434,0,0
000030437,0,0
000030438,0,0
000030450,0,0
000030452,0,0
000030466,0,0
000030482,0,0
000030485,0,0
000030494,0,0
000030496,0,0
000030501,0,0
000030502,0,0
000030506,0,0
000030508,0,0
000030519,0,0
000030523,0,0
000030524,0,0
000030527,0,0
000030528,0,0
000030535,0,0
000030543,0,0
000030556,0,0
000030566,0,0
000030569,0,0
000030579,0,0
000030580,0,0
000030586,0,0
000030588,0,0
000030593,0,0
000030603,0,0
000030606,0,0
000030643,0,0
000030663,0,0
000030690,0,0
000030696,0,0
000030707,0,0
000030757,0,0
000030758,0,0
000030759,0,0
000030769,0,0
000030775,0,0
000030801,0,0
000030804,0,0
000030809,0,0
000030815,0,0
000030820,0,0
000030824,0,0
000030830,0,0
000030852,0,0
000030855,0,0
000030857,0,0
000030860,0,0
000030863,0,0
000030877,0,0
000030893,0,0
000030894,0,0
000030920,0,0
000030950,0,0
000030956,0,0
000030987,0,0
000031111,0,0
000031193,0,0
000031194,0,0
000031314,0,0
000031315,0,0
000031316,0,0
000031317,0,0
000031410,0,0
000031411,0,0
000031412,0,0
000031427,0,0
000031428,0,0
000031443,0,0
000031482,0,0
000031483,0,0
000031494,0,0
000031611,0,0
000031612,0,0
000031614,0,0
000031964,0,0
000031965,0,0
000031966,0,0
000031967,0,0
000031968,0,0
000032153,0,0
000032187,0,0
000032188,0,0
000032201,0,0
000032202,0,0
000032230,0,0
000032240,0,0
000032291,0,0
000032327,0,0
000032328,0,0
000032550,0,0
000032560,0,0
000032570,0,0
000032725,0,0
000032814,0,0
000032818,0,0
000033622,0,0
000033623,0,0
000033624,0,0
000033631,0,0
000033638,0,0
000033641,0,0
000033734,0,0
000033772,0,0
000033774,0,0
000033861,0,0
000033868,0,0
000033876,0,0
000034214,0,0
000034215,0,0
000034221,0,0
000034222,0,0
000034223,0,0
000034522,0,0
000035154,0,0
000035168,0,0
000035169,0,0
000035173,0,0
000035174,0,0
000035178,0,0
000035183,0,0
000035184,0,0
000035194,0,0
000035195,0,0
000035550,0,0
000036335,0,0
000036336,0,0
000036337,0,0
000040010,0,0
000040018,0,0
000040020,0,0
000040028,0,0
000040033,0,0
