ndc,year,name
000020435,2005,SARAFEM TABLETS
000020435,2010,SARAFEM CAPSULES
000020436,2010,SARAFEM CAPSULES
000020436,2010,SARAFEM TABLETS
000020490,2003,DYNABAC TABLETS
000020490,2007,DYNABAC TABLETS DELAYED RELEASE
000020604,2004,SEROMYCIN
000020604,2010,SEROMYCIN CAPSLUES
000021407,2010,QUINIDINE GLUCONATE INJECTION USP
000021407,2018,QUINIDINE GLUCONATE
000021445,2007,BREVITAL SODIUM INJECTION
000021445,2018,IXEKIZUMAB
000021485,2010,CAPASTAT SULFATE INJECTION
000021485,2012,CAPREOMYCIN SULFATE
000022468,2002,AVENTYL HCL LIQUID ORAL
000022468,2007,AVENTYL HCL ORAL SOLUTION
000023004,2005,PROZAC CAPSULES
000023004,2007,PROZAC CAPSULES DELAYED RELEASED
000023004,2010,PROZAC WEEKLY CAPSULES
000023004,2018,FLUOXETINE HYDROCHLORIDE
000023104,2006,PROZAC PULVULES
000023104,2010,PROZAC CAPSULES
000023105,2006,PROZAC PULVULES
000023105,2007,PROZAC CAPSULES
000023105,2010,PROZAC FLUOXETINE CAPSULES USP
000023107,2007,PROZAC CAPSULES
000023107,2010,PROZAC FLUOXETINE CAPSULES USP
000023227,2010,STRATTERA CAPSULES
000023227,2018,ATOMOXETINE HYDROCHLORIDE
000023228,2010,STRATTERA CAPSULES
000023228,2018,ATOMOXETINE HYDROCHLORIDE
000023229,2010,STRATTERA CAPSULES
000023229,2018,ATOMOXETINE HYDROCHLORIDE
000023230,2010,SYMBYAX CAPSULES
000023230,2018,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE
000023231,2010,SYMBYAX CAPSULES
000023231,2018,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE
000023232,2010,SYMBYAX CAPSULES
000023232,2018,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE
000023233,2010,SYMBYAX CAPSULES
000023233,2018,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE
000023234,2010,SYMBYAX CAPSULES
000023234,2018,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE
000023235,2006,CYMBALTA
000023235,2007,CYMBALTA TABLETS
000023235,2009,CYMBALTA DELAYED RELEASE CAPSULES
000023235,2010,CYMBALTA CAPSULES DELAYED RELEASE
000023235,2018,DULOXETINE HYDROCHLORIDE
000023237,2005,CYMBALTA
000023237,2009,CYMBALTA DELAYED RELEASE CAPSULES
000023237,2010,CYMBALTA CAPSULES DELAYED RELEASE
000023237,2012,DULOXETINE HYDROCHLORIDE
000023238,2010,STRATTERA CAPSULES
000023238,2018,ATOMOXETINE HYDROCHLORIDE
000023239,2010,STRATTERA CAPSULES
000023239,2018,ATOMOXETINE HYDROCHLORIDE
000023240,2005,CYMBALTA
000023240,2009,CYMBALTA DELAYED RELEASE CAPSULES
000023240,2010,CYMBALTA CAPSULES DELAYED RELEASE
000023240,2018,DULOXETINE HYDROCHLORIDE
000023250,2010,STRATTERA CAPSULES
000023250,2018,ATOMOXETINE HYDROCHLORIDE
000023251,2008,STATTERA CAPSULES
000023251,2010,STRATTERA CAPSULES
000023251,2018,ATOMOXETINE HYDROCHLORIDE
000023270,2010,CYMBALTA CAPSULES DELAYED RELEASSE
000023270,2018,DULOXETINE HYDROCHLORIDE
000024112,2010,ZYPREXA TABLETS
000024112,2018,OLANZAPINE
000024115,2010,ZYPREXA TABLETS
000024115,2018,OLANZAPINE
000024116,2010,ZYPREXA TABLETS
000024116,2018,OLANZAPINE
000024117,2010,ZYPREXA TABLETS
000024117,2018,OLANZAPINE
000024165,2010,EVISTA TABLETS
000024165,2018,RALOXIFENE HYDROCHLORIDE
000024415,2004,ZYPREXA TABLET
000024415,2010,ZYPREXA TABLETS
000024415,2018,OLANZAPINE
000024420,2010,ZYPREXA TABLETS
000024420,2018,OLANZAPINE
000024453,2010,ZYPREXA ZYDIS TABLETS
000024453,2018,OLANZAPINE
000024454,2004,ZYPREXA TABLETS
000024454,2010,ZYPREXA ZYDIS TABLETS
000024454,2018,OLANZAPINE
000024455,2010,ZYPREXA ZYDIS TABLETS
000024455,2018,OLANZAPINE
000024456,2010,ZYPREXA ZYDIS TABLETS
000024456,2018,OLANZAPINE
000024462,2010,CIALIS TABLETS
000024462,2018,TADALAFIL
000024463,2010,CIALIS TABLETS
000024463,2018,TADALAFIL
000024464,2010,CIALIS TABLETS
000024464,2018,TADALAFIL
000024465,2010,CIALIS TABLETS
000024465,2018,TADALAFIL
000024759,2009,EFFIENT PRASUGREL HYDROCHLORIDE TABLETS
000024759,2010,EFFIENT PRASUGREL HYDROCHLORIDE FLIM COATED TABLETS
000024759,2013,PRASUGREL HYDROCHLORIDE
000024760,2010,EFFIENT PRASUGREL HYDROCHLORIDE FILM COATED TABLETS
000024760,2013,PRASUGREL HYDROCHLORIDE
000024770,2010,LIVALO TABLETS
000024770,2016,PITAVASTATIN CALCIUM
000024771,2010,LIVALO TABLETS
000024771,2010,PITAVASTATIN TABLETS
000024771,2016,PITAVASTATIN CALCIUM
000024772,2010,LIVALO TABLETS
000024772,2010,PITAVASTATIN TABLETS
000024772,2016,PITAVASTATIN CALCIUM
000025800,2010,STRATTERA KIT
000025800,2018,ATOMOXETINE HYDROCHLORIDE
000025801,2010,STRATTERA KIT
000025801,2018,ATOMOXETINE HYDROCHLORIDE
000025802,2010,STRATTERA KIT
000025802,2018,ATOMOXETINE HYDROCHLORIDE
000027140,2010,REOPRO SOLUTION
000027140,2018,ABCIXIMAB
000027335,2010,HUMATROPE FOR INJECTION
000027335,2010,HUMATROPE FOR INJECTION KIT
000027335,2018,SOMATROPIN
000027501,2009,GEMZAR POWDER FOR INJECTION SOLUTION
000027501,2010,GEMZAR INJECTION
000027501,2010,GEMZAR POWDER FOR INJECTION
000027501,2018,GEMCITABINE HYDROCHLORIDE
000027502,2009,GEMZAR POWDER FOR SOLUTION INJECTION
000027502,2010,GEMZAR INJECTION
000027502,2010,GEMZAR POWDER FOR SOLUTION
000027502,2018,GEMCITABINE HYDROCHLORIDE
000027510,2010,HUMALOG INJECTION
000027510,2018,INSULIN LISPRO
000027511,2004,HUMALOG INJECTION MIX 75/25
000027511,2010,HUMALOG MIX INJECTION
000027511,2018,INSULIN LISPRO
000027512,2009,HUMALOG MIX
000027512,2010,HUMALOG MIX INJECTION
000027512,2018,INSULIN LISPRO
000027516,2010,HUMALOG INJECTION
000027516,2018,INSULIN LISPRO
000027559,2006,DROTRECOGIN ALFA XIGRIS SOLUTION
000027559,2010,XIGRIS SOLUTION
000027559,2012,DROTRECOGIN ALFA (ACTIVATED)
000027561,2006,DROTRECOGIN ALFA XIGRIS SOLUTION
000027561,2010,XIGRIS SOLUTION
000027561,2012,DROTRECOGIN ALFA (ACTIVATED)
000027597,2010,ZYPREXA INTRAMUSCULAR FOR INJECTION
000027597,2018,OLANZAPINE
000027623,2010,ALIMTA INJECTION
000027623,2018,PEMETREXED DISODIUM
000027635,2010,ZYPREXA RELPREVV KIT
000027635,2018,OLANZAPINE PAMOATE
000027636,2010,ZYPREXA RELPREVV OLANZAPINE PAMOATE KIT
000027636,2018,OLANZAPINE PAMOATE
000027637,2010,ZYPREXA RELPREVV OLANZAPINE PAMOATE KIT
000027637,2018,OLANZAPINE PAMOATE
000027640,2010,ALIMTA INJECTION
000027640,2018,PEMETREXED DISODIUM
000028031,2010,GLUCAGON EMERGENCY KIT
000028031,2018,GLUCAGON
000028147,2010,HUMATROPE CARTRIDGE KIT
000028147,2010,HUMATROPEN CARTRIDGE KIT
000028147,2018,SOMATROPIN
000028148,2010,HUMATROPEN CARTRIDGE KIT
000028148,2018,SOMATROPIN
000028149,2010,HUMATROPEN CARTRIDGE KIT
000028149,2018,SOMATROPIN
000028215,2010,HUMULIN R INJECTION
000028215,2018,INSULIN HUMAN
000028315,2009,HUMULIN N INJECTION
000028315,2010,HUMULIN N INJECTION SUSPENSION
000028315,2018,INSULIN HUMAN
000028400,2010,FORTEO INJECTION
000028400,2018,TERIPARATIDE
000028415,2001,HUMULIN L INSULIN SUSPENSION
000028415,2005,HUMULIN L INSULIN SUSPENSION INJECTION
000028501,2001,HUMULIN R INJECTION USP REGULAR INSULIN HUMAN
000028501,2003,HUMULIN R U 500 INJECTION
000028501,2010,HUMULIN R INJECTION
000028501,2018,INSULIN HUMAN
000028715,2010,HUMULIN 70 30 INSULIN INJECTION
000028715,2018,INSULIN HUMAN
000028725,2010,HUMALOG PEN INJECTION
000028725,2013,INSULIN LISPRO
000028730,2010,HUMULIN N PEN INJECTION
000028730,2015,INSULIN HUMAN
000028770,2010,HUMULIN 70 30 PEN INJECTION
000028770,2015,INSULIN HUMAN
000028793,2010,HUMALOG MIX INJECTION
000028793,2012,INSULIN LISPRO
000028794,2005,HUMALOG MIX INJECTION
000028794,2010,HUMALOG MIX PEN
000028794,2012,INSULIN LISPRO
000028797,2010,HUMALOG MIX KWIKPEN INJECTION
000028797,2018,INSULIN LISPRO
000028798,2010,HUMALOG MIX KWIKPEN INJECTION
000028798,2018,INSULIN LISPRO
000028799,2010,HUMALOG KWIKPEN INJECTION
000028799,2018,INSULIN LISPRO
000028971,2009,FORTEO TERIPARATIDE INJECTION
000028971,2010,FORTEO INJECTION
000029502,2003,CEFUROXIME INJECTION
000029502,2007,CEFUROXIME FOR INJECTION
000030249,2010,HALOG SOLUTION
000030249,2018,HALCINONIDE
000030293,2007,KENALOG 40 INJECTION
000030293,2010,KENALOG INJECTION
000030293,2018,TRIAMCINOLONE ACETONIDE
000030494,2007,KENALOG 10 INJECTION
000030494,2010,KENALOG INJECTION
000030494,2018,TRIAMCINOLONE ACETONIDE
000030524,2006,DASATINIB TABLETS
000030524,2010,SPRYCEL TABLETS
000030524,2018,DASATINIB
000030527,2006,DASATINIB TABLETS
000030527,2010,SPRYCEL TABLETS
000030527,2018,DASATINIB
000030528,2006,DASATINIB TABLETS
000030528,2010,SPRYCEL TABLETS
000030528,2018,DASATINIB
000030830,2010,HYDREA CAPSULES
000030830,2018,HYDROXYUREA
000030852,2010,SPRYCEL TABLETS
000030852,2018,DASATINIB
000031611,2010,BARACLUDE TABLETS
000031611,2018,ENTECAVIR
000031612,2010,BARACLUDE TABLETS
000031612,2018,ENTECAVIR
000031614,2010,BARACLUDE ENTECAVIR SOLUTION
000031614,2018,ENTECAVIR
000031964,2010,ZERIT CAPSULES
000031964,2018,STAVUDINE
000031965,2010,ZERIT CAPSULES
000031965,2018,STAVUDINE
000031966,2010,ZERIT CAPSULES
000031966,2018,STAVUDINE
000031967,2010,ZERIT CAPSULES
000031967,2018,STAVUDINE
000031968,2007,ZERIT SOLUTION ORAL
000031968,2010,ZERIT ORAL SOLUTION
000031968,2018,STAVUDINE
000032187,2007,ORENCIA
000032187,2010,ORENCIA INJECTION
000032187,2018,ABATACEPT
000032230,2010,AZACTAM INJECTION
000032230,2018,AZTREONAM
000032560,2001,AZACTAM FOR INJECTION
000032560,2010,AZACTAM INJECTION
000032560,2018,AZTREONAM
000032570,2001,AZACTAM FOR INJECTION
000032570,2010,AZACTAM INJECTION
000032570,2018,AZTREONAM
000032725,2001,TOBRAMYCIN SULFATE INJECTION
000032725,2010,TOBRAMYCIN INJECTION
000033622,2010,REYATAZ CAPSULES
000033622,2014,ATAZANAVIR SULFATE
000033622,2018,ATAZANAVIR
000033623,2010,REYATAZ CAPSULES
000033623,2014,ATAZANAVIR SULFATE
000033623,2015,ATAZANAVIR
000033624,2010,REYATAZ CAPSULES
000033624,2014,ATAZANAVIR SULFATE
000033624,2018,ATAZANAVIR
000033631,2010,REYATAZ CAPSULES
000033631,2014,ATAZANAVIR SULFATE
000033631,2018,ATAZANAVIR
000034214,2010,ONGLYZA TABLET
000034214,2010,ONGLYZA TABLETS
000034214,2016,SAXAGLIPTIN
000034215,2010,ONGLYZA TABLETS
000034215,2016,SAXAGLIPTIN
000035154,2010,PRAVACHOL TABLETS
000035154,2012,PRAVASTATIN SODIUM
000035178,2010,PRAVACHOL TABLETS
000035178,2018,PRAVASTATIN SODIUM
000035194,2010,PRAVACHOL TABLETS
000035194,2018,PRAVASTATIN SODIUM
000035195,2010,PRAVACHOL TABLETS
000035195,2018,PRAVASTATIN SODIUM
000036335,2010,DROXIA CAPSULES
000036335,2018,HYDROXYUREA
000036336,2010,DROXIA CAPSULES
000036336,2018,HYDROXYUREA
000036337,2010,DROXIA CAPSULES
000036337,2018,HYDROXYUREA
000040028,2010,NAPROSYN SUSPENSION
000040028,2016,NAPROXEN
000040038,2010,VALCYTE FILM COATED TABLETS
000040038,2010,VALCYTE TABLETS
000040038,2018,VALGANCICLOVIR HYDROCHLORIDE
000040039,2010,VALCYTE FOR ORAL SOLUTION
000040039,2010,VALCYTE SOLUTION FOR POWDER
000040039,2018,VALGANCICLOVIR HYDROCHLORIDE
000040058,2010,KLONOPIN TABLETS
000040058,2018,CLONAZEPAM
000040068,2010,KLONOPIN TABLETS
000040068,2018,CLONAZEPAM
000040086,2010,COPEGUS TABLETS
000040086,2017,RIBAVIRIN
000040098,2010,KLONOPIN TABLETS
000040098,2018,CLONAZEPAM
000040186,2010,BONIVA TABLETS
